Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
30/12/2009;41.27;41.619.999;41.23;41.529.999;0.001
31/12/2009;41.619.999;42.130.001;41.450.001;41.669.998;0.0034
4/1/2010;41.790.001;42.990.002;41.669.998;42.849.998;0.0279
5/1/2010;42.790.001;43.84;42.779.999;43.68;0.0192
6/1/2010;43.450.001;44.09;43.310.001;43.919.998;0.0055
7/1/2010;43.790.001;45.119.999;43.610.001;44.790.001;0.0196
8/1/2010;44.369.999;44.700.001;44.080.002;44.68;-0.0025
11/1/2010;45.119.999;45.189.999;44.310.001;44.529.999;-0.0034
12/1/2010;43.990.002;44.150.002;42.939.999;43.490.002;-0.0236
13/1/2010;43.549.999;44.529.999;42.869.999;44.25;0.0173
14/1/2010;44.200.001;44.790.001;44.099.998;44.689.999;0.0099
15/1/2010;44.299.999;44.43;43.34;43.68;-0.0229
19/1/2010;43.400.002;43.75;42.900.002;43.279.999;-0.0092
20/1/2010;43.009.998;43.68;42.709.999;43.400.002;0.0028
21/1/2010;43.040.001;43.150.002;40.32;40.540.001;-0.0682
22/1/2010;40.650.002;41.200.001;38.82;39.16;-0.0346
25/1/2010;39.759.998;39.889.999;38.84;39.209.999;0.0013
26/1/2010;39.00;39.84;38.279.999;38.439.999;-0.0198
27/1/2010;38.349.998;39.490.002;38.07;39.330.002;0.0229
28/1/2010;39.68;40.040.001;38.720.001;39.48;0.0038
29/1/2010;39.650.002;39.849.998;38.799.999;38.939.999;-0.0138
1/2/2010;39.099.998;39.93;38.950.001;39.630.001;0.0176
2/2/2010;39.799.999;40.68;39.700.001;40.549.999;0.0229
3/2/2010;40.580.002;41.099.998;40.169.998;40.290.001;-0.0064
4/2/2010;39.790.001;39.919.998;38.349.998;38.349.998;-0.0493
5/2/2010;38.639.999;38.880.001;37.029.999;38.299.999;-0.0013
8/2/2010;38.290.001;38.290.001;37.32;37.700.001;-0.0158
9/2/2010;38.189.999;38.700.001;37.84;38.389.999;0.0181
10/2/2010;38.639.999;39.50;38.52;38.869.999;0.0124
11/2/2010;38.84;39.369.999;38.360.001;39.02;0.0039
12/2/2010;38.669.998;39.18;38.360.001;38.950.001;-0.0018
16/2/2010;39.330.002;40.139.999;38.75;40.07;0.0283
17/2/2010;40.259.998;40.450.001;39.759.998;40.040.001;-0.0007
18/2/2010;39.939.999;40.509.998;39.77;40.41;0.0092
19/2/2010;40.110.001;40.700.001;39.900.002;40.029.999;-0.0094
22/2/2010;40.400.002;41.299.999;40.25;40.849.998;0.0203
23/2/2010;40.900.002;41.25;39.759.998;39.880.001;-0.024
24/2/2010;40.049.999;40.970.001;40.00;40.849.998;0.024
25/2/2010;40.16;40.689.999;39.700.001;40.639.999;-0.0052
26/2/2010;40.689.999;42.310.001;40.599.998;41.970.001;0.0322
1/3/2010;42.029.999;42.18;41.41;41.830.002;-0.0033
2/3/2010;41.98;42.400.002;41.360.001;41.619.999;-0.005
3/3/2010;41.650.002;42.060.001;41.34;41.529.999;-0.0022
4/3/2010;41.91;42.080.002;41.66;41.919.998;0.0093
5/3/2010;42.32;42.869.999;42.189.999;42.810.001;0.021
8/3/2010;42.849.998;43.029.999;42.470.001;42.59;-0.0052
9/3/2010;42.389.999;42.82;42.049.999;42.419.998;-0.004
10/3/2010;42.869.999;43.490.002;42.810.001;42.93;0.012
11/3/2010;42.91;43.200.001;42.799.999;43.18;0.0058
12/3/2010;43.34;43.540.001;42.849.998;43.150.002;-0.0007
15/3/2010;42.919.998;43.209.999;42.599.998;43.07;-0.0019
16/3/2010;43.349.998;43.380.001;42.689.999;43.240.002;0.0039
17/3/2010;43.310.001;44.110.001;43.27;43.790.001;0.0126
18/3/2010;43.75;43.790.001;43.150.002;43.639.999;-0.0034
19/3/2010;43.450.001;43.889.999;43.130.001;43.450.001;-0.0044
22/3/2010;43.07;43.790.001;43.040.001;43.740.002;0.0067
23/3/2010;43.849.998;44.740.002;43.779.999;44.580.002;0.019
24/3/2010;44.439.999;44.970.001;44.200.001;44.939.999;0.008
25/3/2010;44.98;46.049.999;44.889.999;44.939.999;0
26/3/2010;45.040.001;45.889.999;44.790.001;45.02;0.0018
29/3/2010;45.25;45.380.001;44.459.999;44.860.001;-0.0036
30/3/2010;44.900.002;45.049.999;44.360.001;44.580.002;-0.0063
31/3/2010;44.310.001;45.00;44.25;44.75;0.0038
1/4/2010;45.029.999;45.310.001;44.990.002;45.18;0.0096
5/4/2010;45.279.999;45.400.002;44.790.001;45.34;0.0035
6/4/2010;45.23;45.939.999;45.150.002;45.84;0.011
7/4/2010;45.830.002;46.049.999;45.02;45.32;-0.0114
8/4/2010;45.16;45.970.001;44.810.001;45.759.998;0.0097
9/4/2010;45.880.001;46.220.001;45.450.001;45.98;0.0048
12/4/2010;46.029.999;46.470.001;45.900.002;46.139.999;0.0035
13/4/2010;46.040.001;46.380.001;45.849.998;45.869.999;-0.0059
14/4/2010;47.400.002;47.93;46.779.999;47.73;0.0397
15/4/2010;47.650.002;48.200.001;47.490.002;47.810.001;0.0017
16/4/2010;47.669.998;47.75;45.139.999;45.549.999;-0.0484
19/4/2010;45.23;45.700.001;44.59;45.389.999;-0.0035
20/4/2010;45.77;46.150.002;45.560.001;45.880.001;0.0107
21/4/2010;46.040.001;46.389.999;45.00;45.349.998;-0.0116
22/4/2010;44.91;45.119.999;44.029.999;44.740.002;-0.0135
23/4/2010;44.73;45.07;44.25;44.939.999;0.0045
26/4/2010;44.779.999;44.810.001;43.73;43.889.999;-0.0236
27/4/2010;43.48;44.369.999;42.299.999;42.41;-0.0343
28/4/2010;42.84;43.709.999;42.779.999;43.459.999;0.0245
29/4/2010;43.889.999;44.330.002;43.599.998;44.00;0.0123
30/4/2010;44.02;44.049.999;42.23;42.580.002;-0.0328
3/5/2010;42.970.001;43.73;42.889.999;43.529.999;0.0221
4/5/2010;42.970.001;43.360.001;42.25;42.470.001;-0.0247
5/5/2010;42.110.001;43.369.999;41.619.999;42.630.001;0.0038
6/5/2010;42.630.001;42.779.999;39.290.001;40.810.001;-0.0436
7/5/2010;41.029.999;41.84;39.779.999;40.759.998;-0.0012
10/5/2010;42.32;43.299.999;41.419.998;41.950.001;0.0288
11/5/2010;41.459.999;42.549.999;41.150.002;41.549.999;-0.0096
12/5/2010;41.740.002;41.790.001;40.810.001;41.689.999;0.0034
13/5/2010;41.439.999;41.599.998;40.779.999;40.810.001;-0.0213
14/5/2010;40.099.998;40.099.998;39.209.999;39.889.999;-0.0228
17/5/2010;39.93;40.040.001;38.77;39.84;-0.0013
18/5/2010;40.619.999;40.619.999;38.549.999;39.02;-0.0208
19/5/2010;38.540.001;39.66;38.52;39.380.001;0.0092
20/5/2010;38.549.999;39.25;37.310.001;37.830.002;-0.0402
21/5/2010;37.02;40.16;37.02;40.049.999;0.057
24/5/2010;40.16;40.25;38.50;38.619.999;-0.0364
25/5/2010;37.669.998;39.009.998;37.349.998;38.939.999;0.0083
26/5/2010;39.189.999;39.50;38.470.001;38.779.999;-0.0041
27/5/2010;39.580.002;40.490.002;39.400.002;40.419.998;0.0414
28/5/2010;40.330.002;40.349.998;39.360.001;39.580.002;-0.021
1/6/2010;39.32;39.959.999;38.50;38.540.001;-0.0266
2/6/2010;39.169.998;39.619.999;38.669.998;39.549.999;0.0259
3/6/2010;39.860.001;39.939.999;38.619.999;39.099.998;-0.0114
4/6/2010;38.490.002;38.700.001;37.50;37.619.999;-0.0386
7/6/2010;37.790.001;38.130.001;36.66;36.720.001;-0.0242
8/6/2010;36.860.001;37.799.999;36.549.999;37.779.999;0.0285
9/6/2010;38.150.002;38.16;37.009.998;37.119.999;-0.0176
10/6/2010;37.68;38.369.999;37.41;38.290.001;0.031
11/6/2010;37.790.001;38.169.998;37.52;38.09;-0.0052
14/6/2010;37.970.001;38.27;37.23;37.330.002;-0.0202
15/6/2010;37.549.999;38.279.999;37.259.998;38.25;0.0243
16/6/2010;38.02;38.880.001;37.990.002;38.52;0.007
17/6/2010;38.599.998;38.900.002;37.919.998;38.439.999;-0.0021
18/6/2010;38.599.998;39.27;38.380.001;39.18;0.0191
21/6/2010;39.549.999;39.779.999;38.66;38.869.999;-0.0079
22/6/2010;38.93;39.580.002;38.220.001;38.330.002;-0.014
23/6/2010;38.290.001;39.110.001;38.02;38.889.999;0.0145
24/6/2010;38.549.999;38.700.001;37.419.998;38.029.999;-0.0224
25/6/2010;38.779.999;39.599.998;38.279.999;39.439.999;0.0364
28/6/2010;39.549.999;39.639.999;38.470.001;38.540.001;-0.0231
29/6/2010;37.91;37.91;36.880.001;37.060.001;-0.0392
30/6/2010;37.02;37.490.002;36.509.998;36.610.001;-0.0122
1/7/2010;36.540.001;36.689.999;35.16;36.080.002;-0.0146
2/7/2010;36.310.001;36.689.999;35.34;35.830.002;-0.007
6/7/2010;36.689.999;36.880.001;35.860.001;36.330.002;0.0139
7/7/2010;36.639.999;38.240.002;36.41;38.150.002;0.0489
8/7/2010;38.779.999;38.82;37.150.002;38.16;0.0003
9/7/2010;37.75;38.889.999;37.68;38.849.998;0.0179
12/7/2010;38.860.001;39.34;38.599.998;39.189.999;0.0087
13/7/2010;39.810.001;40.689.999;39.740.002;40.48;0.0324
14/7/2010;40.150.002;40.380.001;39.84;40.349.998;-0.0032
15/7/2010;40.720.001;40.84;39.310.001;40.459.999;0.0027
16/7/2010;40.279.999;40.349.998;38.860.001;39.00;-0.0368
