Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
7/10/2013;52.290.001;52.360.001;51.830.002;51.830.002;-0.0161
8/10/2013;51.830.002;51.959.999;50.84;50.869.999;-0.0187
9/10/2013;51.169.998;51.34;50.25;50.75;-0.0024
10/10/2013;51.84;52.560.001;51.380.001;52.52;0.0343
11/10/2013;52.959.999;53.349.998;52.16;52.509.998;-0.0002
14/10/2013;51.939.999;52.84;51.759.998;52.709.999;0.0038
15/10/2013;52.91;53.040.001;52.18;52.310.001;-0.0076
16/10/2013;52.610.001;54.049.999;52.580.002;54.00;0.0318
17/10/2013;53.790.001;54.290.001;53.610.001;54.209.999;0.0039
18/10/2013;54.259.998;54.580.002;53.799.999;54.299.999;0.0017
21/10/2013;54.27;54.849.998;53.889.999;54.27;-0.0006
22/10/2013;54.650.002;54.68;53.619.999;53.619.999;-0.012
23/10/2013;53.310.001;53.360.001;52.720.001;52.75;-0.0164
24/10/2013;52.84;52.889.999;52.110.001;52.48;-0.0051
25/10/2013;52.16;52.91;52.07;52.77;0.0055
28/10/2013;52.889.999;53.09;52.50;52.68;-0.0017
29/10/2013;52.830.002;52.990.002;52.25;52.73;0.0009
30/10/2013;53.00;53.240.002;52.50;52.599.998;-0.0025
31/10/2013;52.650.002;52.709.999;51.540.001;51.540.001;-0.0204
1/11/2013;51.450.001;52.709.999;51.299.999;52.509.998;0.0186
4/11/2013;52.740.002;52.759.998;52.00;52.040.001;-0.009
5/11/2013;51.849.998;52.130.001;51.66;51.950.001;-0.0017
6/11/2013;52.259.998;52.34;51.830.002;52.099.998;0.0029
7/11/2013;52.130.001;52.34;51.580.002;51.650.002;-0.0087
8/11/2013;51.830.002;53.970.001;51.799.999;53.959.999;0.0438
11/11/2013;53.91;54.150.002;53.700.001;54.099.998;0.0026
12/11/2013;53.93;54.080.002;53.599.998;53.970.001;-0.0024
13/11/2013;53.52;54.200.001;53.150.002;54.139.999;0.0031
14/11/2013;54.259.998;54.50;53.700.001;54.400.002;0.0048
15/11/2013;54.27;54.959.999;54.189.999;54.869.999;0.0086
18/11/2013;55.490.002;56.00;55.299.999;55.740.002;0.0157
19/11/2013;55.970.001;56.639.999;55.779.999;56.150.002;0.0073
20/11/2013;56.43;56.439.999;55.77;56.099.998;-0.0009
21/11/2013;56.279.999;57.400.002;56.279.999;57.220.001;0.0198
22/11/2013;57.25;57.52;57.060.001;57.459.999;0.0042
25/11/2013;57.50;58.139.999;57.41;57.650.002;0.0033
26/11/2013;57.630.001;57.959.999;57.169.998;57.169.998;-0.0084
27/11/2013;57.580.002;57.830.002;57.330.002;57.48;0.0054
29/11/2013;57.580.002;57.849.998;57.200.001;57.220.001;-0.0045
2/12/2013;57.099.998;57.75;56.900.002;56.98;-0.0042
3/12/2013;56.889.999;57.220.001;56.139.999;56.860.001;-0.0021
4/12/2013;56.439.999;57.470.001;56.209.999;57.189.999;0.0058
5/12/2013;56.709.999;56.740.002;55.75;55.82;-0.0242
6/12/2013;56.57;56.759.998;55.619.999;56.060.001;0.0043
9/12/2013;56.279.999;56.529.999;56.09;56.509.998;0.008
10/12/2013;56.490.002;57.07;56.349.998;56.700.001;0.0034
11/12/2013;56.540.001;56.77;55.959.999;56.07;-0.0112
12/12/2013;56.049.999;56.599.998;55.91;56.310.001;0.0043
13/12/2013;56.369.999;56.560.001;56.040.001;56.169.998;-0.0025
16/12/2013;56.34;56.939.999;56.330.002;56.419.998;0.0044
17/12/2013;56.66;56.66;55.66;55.720.001;-0.0125
18/12/2013;55.84;57.27;55.400.002;57.240.002;0.0269
19/12/2013;57.099.998;57.540.001;56.82;57.23;-0.0002
20/12/2013;57.209.999;58.00;57.200.001;57.700.001;0.0082
23/12/2013;57.970.001;58.389.999;57.799.999;58.240.002;0.0093
24/12/2013;58.07;58.290.001;58.040.001;58.25;0.0002
26/12/2013;58.349.998;58.459.999;57.919.998;58.200.001;-0.0009
27/12/2013;58.169.998;58.349.998;58.060.001;58.139.999;-0.001
30/12/2013;58.139.999;58.27;57.709.999;57.950.001;-0.0033
31/12/2013;58.200.001;58.549.999;58.049.999;58.48;0.0091
2/1/2014;58.310.001;58.50;57.970.001;58.209.999;-0.0046
3/1/2014;58.290.001;58.950.001;58.209.999;58.66;0.0077
6/1/2014;59.16;59.470.001;58.830.002;59.00;0.0058
7/1/2014;59.290.001;59.43;58.110.001;58.32;-0.0116
8/1/2014;58.540.001;58.91;58.299.999;58.869.999;0.0094
9/1/2014;58.98;59.00;58.330.002;58.759.998;-0.0019
10/1/2014;58.669.998;58.759.998;58.18;58.490.002;-0.0046
13/1/2014;58.509.998;58.669.998;57.529.999;57.700.001;-0.0136
14/1/2014;58.299.999;58.580.002;57.560.001;57.740.002;0.0007
15/1/2014;57.73;59.650.002;57.73;59.490.002;0.0299
16/1/2014;58.790.001;59.82;58.740.002;58.990.002;-0.0084
17/1/2014;59.209.999;59.23;58.029.999;58.110.001;-0.015
21/1/2014;58.09;58.439.999;57.580.002;58.169.998;0.001
22/1/2014;58.330.002;58.330.002;57.419.998;57.59;-0.01
23/1/2014;57.09;57.099.998;56.209.999;56.470.001;-0.0196
24/1/2014;56.00;56.360.001;55.09;55.09;-0.0247
27/1/2014;55.080.002;55.799.999;54.689.999;55.09;0
28/1/2014;55.389.999;56.34;55.240.002;55.740.002;0.0117
29/1/2014;54.959.999;55.869.999;54.849.998;55.529.999;-0.0038
30/1/2014;56.07;56.389.999;55.630.001;56.00;0.0084
31/1/2014;55.50;56.110.001;55.18;55.360.001;-0.0115
3/2/2014;55.50;55.919.998;54.200.001;54.310.001;-0.0191
4/2/2014;54.720.001;55.349.998;54.599.998;54.950.001;0.0117
5/2/2014;55.099.998;55.450.001;54.580.002;55.209.999;0.0047
6/2/2014;55.349.998;56.549.999;55.200.001;56.48;0.0227
7/2/2014;56.650.002;56.93;56.259.998;56.619.999;0.0025
10/2/2014;56.77;56.919.998;56.389.999;56.740.002;0.0021
11/2/2014;56.610.001;57.57;56.580.002;57.43;0.0121
12/2/2014;57.34;57.709.999;57.16;57.52;0.0016
13/2/2014;57.07;58.099.998;56.959.999;58.029.999;0.0088
14/2/2014;57.889.999;58.23;57.75;58.150.002;0.0021
18/2/2014;58.02;58.650.002;57.900.002;58.490.002;0.0058
19/2/2014;58.360.001;58.540.001;57.220.001;57.259.998;-0.0213
20/2/2014;57.529.999;57.970.001;57.27;57.580.002;0.0056
21/2/2014;57.59;57.84;57.369.999;57.610.001;0.0005
24/2/2014;57.619.999;58.23;57.580.002;58.029.999;0.0073
25/2/2014;57.900.002;57.98;56.919.998;57.029.999;-0.0174
26/2/2014;57.369.999;57.380.001;56.220.001;56.75;-0.0049
27/2/2014;56.779.999;56.889.999;56.139.999;56.689.999;-0.0011
28/2/2014;56.57;57.450.001;56.389.999;56.82;0.0023
3/3/2014;56.299.999;56.419.998;55.689.999;56.209.999;-0.0108
4/3/2014;56.950.001;57.360.001;56.639.999;57.259.998;0.0185
5/3/2014;57.48;58.290.001;57.360.001;58.16;0.0156
6/3/2014;58.509.998;59.09;58.400.002;58.900.002;0.0126
7/3/2014;59.349.998;59.799.999;59.07;59.400.002;0.0085
10/3/2014;59.139.999;59.48;58.869.999;59.200.001;-0.0034
11/3/2014;59.419.998;59.450.001;58.130.001;58.189.999;-0.0172
12/3/2014;57.700.001;57.959.999;57.419.998;57.919.998;-0.0047
13/3/2014;58.00;58.34;57.189.999;57.419.998;-0.0087
14/3/2014;57.110.001;57.529.999;56.619.999;56.799.999;-0.0109
17/3/2014;57.209.999;57.700.001;57.049.999;57.580.002;0.0136
18/3/2014;57.82;58.16;57.619.999;58.060.001;0.0083
19/3/2014;57.990.002;58.93;57.889.999;58.299.999;0.0041
20/3/2014;58.360.001;60.490.002;58.130.001;60.110.001;0.0306
21/3/2014;60.959.999;61.200.001;60.00;60.169.998;0.001
24/3/2014;60.369.999;61.189.999;60.349.998;61.07;0.0148
25/3/2014;61.110.001;61.48;60.560.001;60.93;-0.0023
26/3/2014;61.240.002;61.400.002;59.889.999;59.900.002;-0.017
27/3/2014;59.939.999;60.549.999;59.02;59.919.998;0.0003
28/3/2014;60.209.999;60.59;59.68;60.040.001;0.002
31/3/2014;60.830.002;61.02;60.599.998;60.709.999;0.0111
1/4/2014;60.950.001;61.290.001;60.369.999;60.669.998;-0.0007
2/4/2014;60.369.999;60.77;60.200.001;60.48;-0.0031
3/4/2014;60.650.002;60.799.999;60.279.999;60.66;0.003
4/4/2014;61.02;61.060.001;59.799.999;59.810.001;-0.0141
7/4/2014;59.689.999;60.00;58.84;59.00;-0.0136
8/4/2014;58.799.999;59.02;58.25;58.849.998;-0.0025
9/4/2014;59.099.998;59.450.001;58.50;59.27;0.0071
10/4/2014;59.349.998;59.389.999;57.380.001;57.400.002;-0.0321
11/4/2014;55.18;56.049.999;54.549.999;55.299.999;-0.0373
14/4/2014;55.849.998;55.939.999;54.48;54.959.999;-0.0062
15/4/2014;55.09;55.639.999;54.349.998;54.799.999;-0.0029
16/4/2014;55.00;55.349.998;54.689.999;55.259.998;0.0084
17/4/2014;55.34;55.57;55.009.998;55.220.001;-0.0007
21/4/2014;55.259.998;55.41;54.990.002;55.029.999;-0.0034
22/4/2014;55.040.001;56.080.002;54.939.999;55.810.001;0.0141
23/4/2014;55.799.999;56.119.999;55.560.001;56.049.999;0.0043
24/4/2014;56.07;56.259.998;55.610.001;56.189.999;0.0025
25/4/2014;56.310.001;56.349.998;55.639.999;55.700.001;-0.0088
28/4/2014;55.630.001;55.700.001;54.68;55.490.002;-0.0038
29/4/2014;55.73;56.310.001;55.57;56.099.998;0.0109
30/4/2014;56.240.002;56.349.998;55.720.001;55.98;-0.0021
1/5/2014;55.919.998;56.189.999;55.50;55.720.001;-0.0047
2/5/2014;55.830.002;56.369.999;55.439.999;55.580.002;-0.0025
5/5/2014;53.880.001;54.740.002;53.700.001;54.220.001;-0.0248
6/5/2014;54.040.001;54.060.001;53.32;53.34;-0.0164
7/5/2014;53.549.999;54.119.999;53.240.002;54.049.999;0.0132
8/5/2014;54.200.001;54.529.999;54.060.001;54.360.001;0.0057
9/5/2014;54.220.001;54.310.001;53.68;54.009.998;-0.0065
12/5/2014;54.27;54.700.001;54.029.999;54.650.002;0.0118
13/5/2014;54.740.002;54.830.002;54.50;54.619.999;-0.0005
14/5/2014;54.639.999;54.700.001;54.299.999;54.360.001;-0.0048
15/5/2014;54.200.001;54.200.001;53.349.998;53.509.998;-0.0158
16/5/2014;53.419.998;53.509.998;52.970.001;53.310.001;-0.0037
19/5/2014;53.080.002;53.91;53.060.001;53.830.002;0.0097
20/5/2014;53.720.001;54.040.001;53.41;53.720.001;-0.002
21/5/2014;54.049.999;54.599.998;53.98;54.119.999;0.0074
22/5/2014;54.169.998;54.599.998;54.02;54.549.999;0.0079
23/5/2014;54.549.999;54.59;54.16;54.529.999;-0.0004
27/5/2014;54.75;55.43;54.689.999;55.139.999;0.0111
28/5/2014;55.09;55.599.998;55.00;55.450.001;0.0056
29/5/2014;55.75;55.919.998;55.389.999;55.720.001;0.0049
30/5/2014;55.580.002;55.880.001;55.310.001;55.57;-0.0027
2/6/2014;55.650.002;55.650.002;55.02;55.349.998;-0.004
3/6/2014;55.09;55.66;55.09;55.599.998;0.0045
4/6/2014;55.52;55.73;55.25;55.68;0.0014
5/6/2014;55.91;56.66;55.490.002;56.630.001;0.0169
6/6/2014;56.759.998;57.130.001;56.650.002;56.970.001;0.006
9/6/2014;56.91;57.669.998;56.900.002;57.419.998;0.0079
10/6/2014;57.470.001;57.939.999;57.389.999;57.900.002;0.0083
11/6/2014;57.48;57.790.001;56.98;57.27;-0.0109
12/6/2014;57.07;57.419.998;56.869.999;57.040.001;-0.004
13/6/2014;57.029.999;57.669.998;56.880.001;57.040.001;0
16/6/2014;56.849.998;56.950.001;56.330.002;56.869.999;-0.003
17/6/2014;56.790.001;57.59;56.68;57.419.998;0.0096
18/6/2014;57.290.001;57.810.001;56.950.001;57.779.999;0.0063
19/6/2014;57.689.999;57.689.999;57.209.999;57.299.999;-0.0083
20/6/2014;57.689.999;57.77;57.349.998;57.549.999;0.0044
23/6/2014;57.540.001;58.220.001;57.240.002;58.189.999;0.0111
24/6/2014;57.880.001;58.119.999;57.299.999;57.419.998;-0.0133
25/6/2014;57.220.001;57.740.002;56.869.999;57.529.999;0.0019
26/6/2014;57.34;57.490.002;56.599.998;57.389.999;-0.0024
27/6/2014;57.330.002;57.700.001;57.240.002;57.529.999;0.0024
30/6/2014;57.439.999;57.779.999;57.380.001;57.619.999;0.0016
1/7/2014;57.150.002;57.990.002;57.080.002;57.57;-0.0009
2/7/2014;57.27;57.48;56.82;56.970.001;-0.0105
3/7/2014;57.23;57.650.002;57.00;57.049.999;0.0014
7/7/2014;56.889.999;56.990.002;56.400.002;56.669.998;-0.0067
8/7/2014;56.349.998;56.470.001;55.630.001;55.759.998;-0.0162
9/7/2014;55.880.001;56.119.999;55.610.001;56.02;0.0047
10/7/2014;55.060.001;55.810.001;54.959.999;55.560.001;-0.0082
11/7/2014;55.290.001;55.91;55.189.999;55.799.999;0.0043
14/7/2014;56.529.999;56.84;56.200.001;56.290.001;0.0087
15/7/2014;57.950.001;58.689.999;57.759.998;58.27;0.0346
16/7/2014;58.509.998;58.98;58.310.001;58.709.999;0.0075
17/7/2014;58.560.001;58.860.001;57.759.998;57.860.001;-0.0146
18/7/2014;58.330.002;58.48;57.900.002;58.23;0.0064
21/7/2014;58.119.999;58.41;57.900.002;58.240.002;0.0002
22/7/2014;58.419.998;58.799.999;58.369.999;58.669.998;0.0074
23/7/2014;58.759.998;59.189.999;58.52;59.00;0.0056
24/7/2014;59.07;59.349.998;58.990.002;59.169.998;0.0029
25/7/2014;58.919.998;59.27;58.84;59.009.998;-0.0027
28/7/2014;58.939.999;59.259.998;58.669.998;59.189.999;0.003
29/7/2014;59.130.001;59.130.001;58.439.999;58.639.999;-0.0093
30/7/2014;59.02;59.279.999;58.610.001;58.91;0.0046
31/7/2014;58.650.002;58.68;57.66;57.669.998;-0.0213
1/8/2014;57.389.999;57.490.002;55.970.001;56.48;-0.0209
4/8/2014;56.91;56.98;56.34;56.650.002;0.003
5/8/2014;56.43;56.599.998;55.599.998;56.060.001;-0.0105
6/8/2014;55.889.999;56.689.999;55.830.002;56.23;0.003
7/8/2014;56.630.001;56.689.999;55.68;55.91;-0.0057
8/8/2014;55.889.999;56.360.001;55.639.999;56.34;0.0077
11/8/2014;56.540.001;56.580.002;56.169.998;56.32;-0.0004
12/8/2014;56.23;56.549.999;56.130.001;56.349.998;0.0005
13/8/2014;56.689.999;56.84;56.509.998;56.720.001;0.0065
14/8/2014;56.77;57.00;56.700.001;56.98;0.0046
15/8/2014;57.240.002;57.50;56.389.999;56.75;-0.004
18/8/2014;56.860.001;57.43;56.759.998;57.23;0.0084
19/8/2014;57.599.998;57.720.001;57.34;57.560.001;0.0057
20/8/2014;57.419.998;57.849.998;57.389.999;57.639.999;0.0014
21/8/2014;57.66;58.77;57.599.998;58.50;0.0148
22/8/2014;58.439.999;59.080.002;58.330.002;58.490.002;-0.0002
25/8/2014;58.98;59.830.002;58.860.001;59.34;0.0144
26/8/2014;59.57;59.950.001;59.389.999;59.740.002;0.0067
27/8/2014;59.849.998;59.950.001;59.529.999;59.59;-0.0025
28/8/2014;59.25;59.369.999;58.810.001;59.16;-0.0072
29/8/2014;59.34;59.650.002;59.23;59.450.001;0.0049
2/9/2014;59.459.999;59.709.999;59.150.002;59.669.998;0.0037
3/9/2014;60.02;60.369.999;59.459.999;59.700.001;0.0005
4/9/2014;59.630.001;60.139.999;59.43;59.709.999;0.0002
5/9/2014;59.619.999;59.91;59.220.001;59.91;0.0033
8/9/2014;59.84;60.220.001;59.740.002;59.889.999;-0.0003
9/9/2014;59.630.001;59.68;58.779.999;59.060.001;-0.014
10/9/2014;59.150.002;59.560.001;58.919.998;59.220.001;0.0027
11/9/2014;59.18;59.84;58.970.001;59.759.998;0.0091
12/9/2014;59.799.999;60.41;59.75;60.029.999;0.0045
15/9/2014;59.779.999;59.990.002;59.450.001;59.939.999;-0.0015
16/9/2014;59.709.999;60.200.001;59.619.999;59.990.002;0.0008
17/9/2014;59.950.001;60.59;59.82;60.310.001;0.0053
18/9/2014;60.540.001;61.400.002;60.540.001;61.32;0.0166
19/9/2014;61.740.002;61.849.998;60.98;61.110.001;-0.0034
22/9/2014;60.939.999;61.450.001;60.799.999;60.91;-0.0033
23/9/2014;60.82;61.400.002;60.77;60.939.999;0.0005
24/9/2014;61.18;61.639.999;61.02;61.630.001;0.0113
25/9/2014;61.490.002;61.50;60.150.002;60.150.002;-0.0243
26/9/2014;60.330.002;60.880.001;60.32;60.560.001;0.0068
29/9/2014;60.029.999;60.50;59.73;60.330.002;-0.0038
30/9/2014;60.400.002;60.740.002;60.130.001;60.240.002;-0.0015
1/10/2014;60.240.002;60.400.002;59.73;59.77;-0.0078
2/10/2014;59.150.002;59.490.002;58.610.001;58.84;-0.0157
3/10/2014;59.25;60.389.999;59.049.999;60.299.999;0.0245
6/10/2014;60.779.999;60.799.999;60.00;60.18;-0.002
7/10/2014;59.919.998;59.919.998;59.189.999;59.27;-0.0152
8/10/2014;59.360.001;60.43;59.18;60.400.002;0.0189
9/10/2014;60.330.002;60.330.002;58.889.999;59.080.002;-0.0221
10/10/2014;59.029.999;59.82;58.509.998;58.52;-0.0095
13/10/2014;58.50;59.150.002;58.110.001;58.16;-0.0062
14/10/2014;56.689.999;58.52;56.060.001;57.990.002;-0.0029
15/10/2014;57.02;57.380.001;54.259.998;55.529.999;-0.0433
16/10/2014;54.75;55.98;54.279.999;55.080.002;-0.0081
17/10/2014;55.73;56.779.999;55.57;56.200.001;0.0201
20/10/2014;56.099.998;56.75;56.07;56.630.001;0.0076
21/10/2014;57.23;58.009.998;57.080.002;57.93;0.0227
22/10/2014;58.040.001;58.259.998;57.439.999;57.450.001;-0.0083
23/10/2014;58.119.999;58.599.998;57.939.999;58.060.001;0.0106
24/10/2014;58.00;58.779.999;58.00;58.740.002;0.0116
27/10/2014;58.450.001;58.790.001;58.25;58.639.999;-0.0017
28/10/2014;58.869.999;59.689.999;58.810.001;59.630.001;0.0167
29/10/2014;59.619.999;59.779.999;58.759.998;59.290.001;-0.0057
30/10/2014;58.939.999;59.68;58.919.998;59.389.999;0.0017
31/10/2014;60.119.999;60.540.001;59.869.999;60.48;0.0182
3/11/2014;60.790.001;61.150.002;60.360.001;60.880.001;0.0066
4/11/2014;60.240.002;60.369.999;59.419.998;60.25;-0.0104
5/11/2014;60.799.999;61.23;60.389.999;61.150.002;0.0148
6/11/2014;61.080.002;61.310.001;60.630.001;61.23;0.0013
7/11/2014;61.07;61.549.999;60.860.001;61.470.001;0.0039
10/11/2014;61.25;61.93;61.200.001;61.93;0.0075
11/11/2014;61.709.999;61.889.999;61.290.001;61.369.999;-0.0091
12/11/2014;60.419.998;60.84;60.23;60.560.001;-0.0133
13/11/2014;60.50;60.630.001;59.990.002;60.23;-0.0055
14/11/2014;60.25;60.619.999;60.18;60.279.999;0.0008
17/11/2014;60.00;60.529.999;59.889.999;60.380.001;0.0017
18/11/2014;60.349.998;60.82;60.200.001;60.529.999;0.0025
19/11/2014;60.450.001;60.790.001;60.150.002;60.599.998;0.0012
20/11/2014;60.200.001;60.25;59.75;60.119.999;-0.008
21/11/2014;61.07;61.07;60.299.999;60.450.001;0.0055
24/11/2014;60.700.001;61.310.001;60.700.001;60.959.999;0.0084
25/11/2014;61.16;61.16;59.950.001;60.299.999;-0.0109
26/11/2014;60.57;60.57;60.200.001;60.34;0.0007
28/11/2014;60.400.002;60.560.001;60.029.999;60.16;-0.003
1/12/2014;59.98;60.209.999;59.549.999;60.00;-0.0027
2/12/2014;60.009.998;61.189.999;60.00;61.080.002;0.0178
3/12/2014;60.959.999;61.619.999;60.810.001;61.540.001;0.0075
4/12/2014;61.099.998;61.57;60.84;61.380.001;-0.0026
5/12/2014;62.009.998;63.060.001;61.880.001;62.700.001;0.0213
8/12/2014;62.599.998;63.16;62.259.998;62.669.998;-0.0005
9/12/2014;61.849.998;62.849.998;61.560.001;62.450.001;-0.0035
10/12/2014;62.16;62.240.002;60.369.999;60.68;-0.0288
11/12/2014;61.169.998;62.060.001;61.110.001;61.139.999;0.0076
12/12/2014;60.529.999;61.220.001;59.959.999;60.040.001;-0.0182
15/12/2014;60.740.002;60.810.001;58.790.001;59.16;-0.0148
16/12/2014;58.419.998;59.860.001;58.110.001;58.43;-0.0124
17/12/2014;58.57;59.830.002;58.34;59.77;0.0227
18/12/2014;60.639.999;61.48;60.439.999;61.48;0.0282
19/12/2014;61.400.002;62.349.998;61.369.999;61.93;0.0073
22/12/2014;62.16;62.330.002;61.610.001;61.939.999;0.0002
23/12/2014;62.049.999;62.970.001;61.93;62.48;0.0087
24/12/2014;62.740.002;62.869.999;62.27;62.48;0
26/12/2014;62.669.998;62.889.999;62.41;62.549.999;0.0011
29/12/2014;62.419.998;63.34;62.25;62.959.999;0.0065
30/12/2014;62.720.001;63.279.999;62.57;63.150.002;0.003
31/12/2014;63.299.999;63.490.002;62.580.002;62.580.002;-0.0091
2/1/2015;62.18;62.959.999;62.07;62.490.002;-0.0014
5/1/2015;62.060.001;62.279.999;60.23;60.549.999;-0.0315
6/1/2015;60.639.999;60.75;58.349.998;58.98;-0.0263
7/1/2015;59.889.999;59.889.999;58.669.998;59.07;0.0015
8/1/2015;59.970.001;60.900.002;59.970.001;60.389.999;0.0221
9/1/2015;60.720.001;60.790.001;59.290.001;59.34;-0.0175
12/1/2015;59.279.999;59.400.002;58.27;58.830.002;-0.0086
13/1/2015;59.259.998;59.700.001;58.369.999;58.84;0.0002
14/1/2015;56.91;57.00;55.27;56.810.001;-0.0351
15/1/2015;55.73;56.610.001;54.50;54.990.002;-0.0326
16/1/2015;54.66;56.00;54.639.999;55.93;0.0169
20/1/2015;56.040.001;56.389.999;55.419.998;55.709.999;-0.0039
21/1/2015;55.450.001;56.419.998;55.189.999;55.889.999;0.0032
22/1/2015;56.380.001;57.73;55.959.999;57.59;0.03
23/1/2015;57.720.001;57.869.999;56.66;56.68;-0.0159
26/1/2015;56.41;56.990.002;56.200.001;56.77;0.0016
27/1/2015;56.049.999;56.610.001;55.759.998;56.200.001;-0.0101
28/1/2015;56.619.999;56.68;54.75;54.75;-0.0261
29/1/2015;55.27;55.889.999;54.68;55.669.998;0.0167
30/1/2015;54.990.002;55.50;54.369.999;54.380.001;-0.0234
2/2/2015;54.529.999;55.650.002;54.27;55.470.001;0.0198
3/2/2015;55.91;56.779.999;55.869.999;56.720.001;0.0223
4/2/2015;56.32;57.07;56.279.999;56.380.001;-0.006
5/2/2015;56.860.001;57.040.001;56.459.999;56.77;0.0069
6/2/2015;57.75;58.73;57.540.001;57.889.999;0.0195
9/2/2015;57.419.998;58.099.998;57.23;57.82;-0.0012
10/2/2015;58.419.998;58.709.999;58.049.999;58.459.999;0.011
11/2/2015;58.060.001;58.66;57.84;58.369.999;-0.0015
12/2/2015;58.93;59.709.999;58.549.999;59.57;0.0204
13/2/2015;59.459.999;60.220.001;59.34;59.669.998;0.0017
17/2/2015;59.360.001;60.139.999;59.32;60.099.998;0.0072
18/2/2015;60.099.998;60.099.998;59.119.999;59.369.999;-0.0122
19/2/2015;59.150.002;59.48;58.799.999;59.23;-0.0024
20/2/2015;58.959.999;59.889.999;58.349.998;59.799.999;0.0096
23/2/2015;59.50;59.529.999;58.799.999;59.349.998;-0.0076
24/2/2015;60.25;61.25;60.080.002;60.82;0.0245
25/2/2015;60.759.998;61.27;60.75;61.139.999;0.0052
26/2/2015;61.029.999;61.700.001;60.91;61.580.002;0.0072
27/2/2015;61.130.001;61.919.998;61.130.001;61.279.999;-0.0049
2/3/2015;61.279.999;61.830.002;61.029.999;61.77;0.008
3/3/2015;61.650.002;61.990.002;61.50;61.970.001;0.0032
4/3/2015;61.639.999;62.169.998;61.349.998;62.130.001;0.0026
5/3/2015;62.200.001;62.23;61.599.998;62.00;-0.0021
6/3/2015;62.16;62.869.999;60.799.999;60.889.999;-0.0181
9/3/2015;60.84;61.630.001;60.799.999;61.50;0.01
10/3/2015;60.759.998;61.009.998;59.959.999;59.959.999;-0.0254
11/3/2015;60.130.001;60.650.002;59.959.999;60.240.002;0.0047
12/3/2015;60.650.002;61.450.001;60.650.002;61.369.999;0.0186
13/3/2015;61.400.002;61.860.001;60.43;61.00;-0.006
16/3/2015;61.50;61.919.998;61.25;61.849.998;0.0138
17/3/2015;61.34;61.66;60.919.998;61.610.001;-0.0039
18/3/2015;61.389.999;62.049.999;61.09;61.75;0.0023
19/3/2015;61.57;61.650.002;60.759.998;61.200.001;-0.0089
20/3/2015;61.32;62.099.998;61.150.002;61.75;0.0089
23/3/2015;61.75;62.080.002;61.119.999;61.139.999;-0.0099
24/3/2015;60.970.001;61.240.002;60.450.001;60.459.999;-0.0112
25/3/2015;60.529.999;60.639.999;59.59;59.610.001;-0.0142
26/3/2015;59.459.999;59.790.001;58.869.999;59.540.001;-0.0012
27/3/2015;59.490.002;59.779.999;59.00;59.549.999;0.0002
30/3/2015;60.880.001;61.459.999;60.610.001;60.959.999;0.0234
31/3/2015;60.720.001;60.939.999;60.419.998;60.580.002;-0.0063
1/4/2015;60.41;60.57;59.73;59.950.001;-0.0105
2/4/2015;60.07;60.700.001;60.00;60.52;0.0095
6/4/2015;59.919.998;60.75;59.650.002;60.470.001;-0.0008
7/4/2015;61.150.002;61.50;60.849.998;60.849.998;0.0063
8/4/2015;61.060.001;61.560.001;60.939.999;61.049.999;0.0033
9/4/2015;61.27;61.580.002;60.830.002;61.470.001;0.0069
10/4/2015;61.349.998;61.779.999;61.200.001;61.700.001;0.0037
13/4/2015;61.639.999;62.27;61.50;62.07;0.006
14/4/2015;62.959.999;63.610.001;62.740.002;63.040.001;0.0155
15/4/2015;63.080.002;64.480.003;63.009.998;64.209.999;0.0184
16/4/2015;64.080.002;64.269.997;63.66;63.810.001;-0.0062
17/4/2015;63.25;63.400.002;62.490.002;62.84;-0.0153
20/4/2015;63.220.001;63.52;63.139.999;63.240.002;0.0063
21/4/2015;63.330.002;63.599.998;62.130.001;62.310.001;-0.0148
22/4/2015;62.650.002;63.150.002;62.029.999;62.939.999;0.0101
23/4/2015;62.790.001;63.209.999;62.599.998;62.799.999;-0.0022
24/4/2015;62.630.001;62.84;62.34;62.599.998;-0.0032
27/4/2015;62.700.001;63.150.002;62.310.001;62.34;-0.0042
28/4/2015;62.490.002;62.779.999;61.77;62.759.998;0.0067
29/4/2015;62.560.001;63.889.999;62.459.999;63.599.998;0.0133
30/4/2015;63.580.002;63.880.001;62.919.998;63.259.998;-0.0054
1/5/2015;63.700.001;63.869.999;63.330.002;63.610.001;0.0055
4/5/2015;63.68;64.870.003;63.639.999;64.720.001;0.0173
5/5/2015;64.510.002;65.32;64.290.001;64.400.002;-0.005
6/5/2015;64.529.999;65.07;63.419.998;63.919.998;-0.0075
7/5/2015;63.669.998;64.599.998;63.25;64.50;0.009
8/5/2015;64.970.001;65.650.002;64.599.998;65.489.998;0.0152
11/5/2015;65.260.002;65.639.999;65.080.002;65.449.997;-0.0006
12/5/2015;65.309.998;65.540.001;64.760.002;65.360.001;-0.0014
13/5/2015;65.419.998;65.629.997;65.059.998;65.519.997;0.0024
